GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0071554	cell wall organization or biogenesis	21	73	28.77%	299	6437	4.65%	YBR067C, YDL055C, YDR055W, YDR077W, YER124C, YGL028C, YGR279C, YGR282C, YHR143W, YJL158C, YJL159W, YKL096W, YKL096W-A, YKL164C, YKR042W, YLR194C, YLR286C, YLR300W, YNL066W, YOL155C, YPR149W
GO:0006811	ion transport	11	73	15.07%	826	6437	12.83%	YAL005C, YDL067C, YDR033W, YDR345C, YER145C, YGL008C, YHR039C-A, YKL164C, YKR007W, YMR011W, YPR149W
GO:0005975	carbohydrate metabolic process	10	73	13.70%	253	6437	3.93%	YAL038W, YGL028C, YGR279C, YGR282C, YJR009C, YKR042W, YLR286C, YLR300W, YML028W, YNL066W
GO:0055085	transmembrane transport	9	73	12.33%	460	6437	7.15%	YAL005C, YDL067C, YDR033W, YDR345C, YER145C, YGL008C, YHR039C-A, YMR011W, YOR020C
GO:0006325	chromatin organization	9	73	12.33%	307	6437	4.77%	YBL002W, YBL003C, YBR009C, YBR010W, YBR088C, YDR224C, YDR225W, YNL030W, YNL031C
GO:0042221	response to chemical	7	73	9.59%	534	6437	8.30%	YAL005C, YBR244W, YER124C, YGR234W, YKR007W, YLR109W, YML028W
GO:0051321	meiotic cell cycle	7	73	9.59%	323	6437	5.02%	YBR009C, YBR010W, YBR088C, YKL096W, YNL030W, YNL031C, YPR036W-A
GO:0002181	cytoplasmic translation	7	73	9.59%	205	6437	3.18%	YAL005C, YDL075W, YDL133C-A, YDL184C, YGL189C, YLR344W, YMR194W
GO:0006281	DNA repair	6	73	8.22%	301	6437	4.68%	YBL003C, YBR010W, YBR088C, YDR224C, YDR225W, YNL031C
GO:0043934	sporulation	6	73	8.22%	170	6437	2.64%	YBR009C, YBR010W, YKL096W, YNL030W, YNL031C, YPR036W-A
